pickup_datetime,dropoff_datetime,passenger_count,trip_distance
2023-01-04 02:24:58,2023-01-01 02:37:41,1,3.79
2023-01-04 02:07:23,2023-01-01 02:12:41,1,0.84
2023-01-04 02:13:53,2023-01-01 02:29:29,1,3.27
2023-01-04 02:35:24,2023-01-01 02:38:09,1,0.64
2023-01-04 02:06:14,2023-01-01 02:18:33,6,2.18
2023-01-04 02:24:20,2023-01-01 02:44:17,6,5.52
2023-01-04 02:36:37,2023-01-01 02:50:37,2,2.57
2023-01-04 02:29:37,2023-01-01 02:53:27,1,4.38
2023-01-04 01:59:48,2023-01-01 01:59:51,2,0.09
2023-01-04 02:35:05,2023-01-01 03:00:20,1,6.03
2023-01-04 02:28:55,2023-01-01 02:39:48,1,3.03
2023-01-04 02:37:12,2023-01-01 02:37:15,3,0.00
2023-01-04 02:07:32,2023-01-01 02:19:23,1,2.09
2023-01-04 02:28:59,2023-01-01 02:54:50,1,4.87
2023-01-04 02:50:02,2023-01-01 02:50:27,1,0.00
2023-01-04 02:09:49,2023-01-01 02:16:19,1,1.33
2023-01-04 02:47:27,2023-01-01 02:53:31,1,0.47
2023-01-04 02:59:41,2023-01-01 03:17:21,1,7.33
2023-01-04 02:37:12,2023-01-01 02:37:15,1,0.00
2023-01-04 02:42:06,2023-01-01 02:50:38,1,3.19
2023-01-04 02:42:25,2023-01-01 03:01:16,1,3.63
2023-01-04 02:04:21,2023-01-01 02:09:59,1,1.11
2023-01-04 02:47:09,2023-01-01 03:00:57,1,4.70
2023-01-04 02:18:44,2023-01-01 02:28:31,5,1.78
2023-01-04 02:43:52,2023-01-01 03:01:20,2,2.36
2023-01-04 02:37:18,2023-01-01 03:21:07,2,6.16
2023-01-04 02:17:46,2023-01-01 02:32:48,2,5.87
2023-01-04 02:53:40,2023-01-01 03:13:09,1,4.84
2023-01-04 02:10:04,2023-01-01 02:14:09,5,0.55
2023-01-04 02:06:11,2023-01-01 02:16:20,5,2.11
2023-01-04 02:09:48,2023-01-01 02:11:34,1,0.00
2023-01-04 03:01:54,2023-01-01 03:01:56,1,0.00
2023-01-04 03:04:05,2023-01-01 03:18:01,1,2.37
2023-01-04 02:40:06,2023-01-01 03:01:26,1,3.68
2023-01-04 02:10:41,2023-01-01 02:17:43,1,1.53
2023-01-04 02:54:41,2023-01-01 03:03:06,1,1.74
2023-01-04 02:05:09,2023-01-01 02:09:30,1,1.00
2023-01-04 02:16:38,2023-01-01 02:36:18,1,3.00
2023-01-04 02:38:02,2023-01-01 02:38:04,1,0.00
2023-01-04 02:51:13,2023-01-01 03:24:16,1,9.63
2023-01-04 03:00:27,2023-01-01 03:00:54,1,4.90
2023-01-04 03:34:36,2023-01-01 03:50:04,1,4.10
2023-01-04 03:07:46,2023-01-01 03:11:43,1,0.47
2023-01-04 03:06:11,2023-01-01 03:06:41,1,1.30
2023-01-04 03:07:26,2023-01-01 03:07:50,1,1.30
2023-01-04 03:49:14,2023-01-01 04:07:23,1,6.84
2023-01-05 03:04:10,2023-01-01 03:27:55,1,4.32
2023-01-05 03:17:32,2023-01-01 03:49:31,1,11.56
2023-01-05 03:27:37,2023-01-01 03:33:27,1,1.33
2023-01-05 03:34:24,2023-01-01 03:44:12,1,3.57
2023-01-05 03:06:32,2023-01-01 03:19:06,2,5.70
2023-01-05 03:44:18,2023-01-01 03:57:43,2,2.09
2023-01-05 03:12:42,2023-01-02 02:03:43,1,0.72
2023-01-05 03:49:01,2023-01-01 03:50:37,4,0.03
2023-01-05 03:35:44,2023-01-01 04:30:10,1,0.00
2023-01-05 03:21:05,2023-01-01 03:30:44,1,1.85
2023-01-05 03:33:02,2023-01-01 03:53:47,1,2.62
